Datetime,Open,High,Low,Close,Volume,Signal
2022-03-03 00:00:00,1931.7,1932.7,1930.5,1931.0,1257,1.0
2022-03-03 01:00:00,1931.0,1932.9,1930.1,1931.2,1555,1.0
2022-03-03 02:00:00,1931.1,1933.0,1928.2,1932.9,3387,1.0
2022-03-03 03:00:00,1932.8,1933.1,1929.7,1930.6,2161,1.0
2022-03-03 04:00:00,1930.5,1932.7,1928.5,1929.4,2022,1.0
2022-03-03 05:00:00,1929.4,1929.4,1925.5,1926.3,2231,1.0
2022-03-03 06:00:00,1926.2,1928.5,1923.1,1927.1,3361,1.0
2022-03-03 07:00:00,1927.2,1931.4,1927.0,1929.6,3107,1.0
2022-03-03 08:00:00,1929.5,1934.6,1927.2,1934.3,5408,1.0
2022-03-03 09:00:00,1934.3,1937.7,1930.9,1934.4,8123,1.0
2022-03-03 10:00:00,1934.3,1934.5,1925.7,1931.4,6777,1.0
2022-03-03 11:00:00,1931.5,1938.4,1931.3,1936.3,6123,1.0
2022-03-03 12:00:00,1936.4,1941.4,1935.0,1935.2,6556,1.0
2022-03-03 13:00:00,1935.1,1938.7,1932.1,1933.1,7043,1.0
2022-03-03 14:00:00,1933.1,1940.0,1926.4,1928.2,17256,0.0
2022-03-03 15:00:00,1928.3,1934.3,1926.6,1929.3,17000,1.0
2022-03-03 16:00:00,1929.3,1933.1,1927.6,1928.4,12730,0.0
2022-03-03 17:00:00,1928.4,1932.9,1924.2,1932.4,15578,1.0
2022-03-03 18:00:00,1932.4,1935.8,1929.5,1934.1,15762,1.0
2022-03-03 19:00:00,1934.1,1937.5,1933.5,1936.3,8864,1.0
2022-03-03 20:00:00,1936.4,1938.4,1934.4,1937.4,3991,0.0
2022-03-03 21:00:00,1937.5,1944.6,1937.1,1939.5,8018,0.0
2022-03-03 22:00:00,1939.4,1941.0,1938.0,1938.4,2027,0.0
2022-03-04 00:00:00,1938.5,1940.5,1937.3,1937.3,1070,1.0
2022-03-04 01:00:00,1937.4,1954.5,1937.2,1949.8,13391,1.0
2022-03-04 02:00:00,1950.0,1950.4,1931.5,1936.3,13916,1.0
2022-03-04 03:00:00,1936.1,1942.6,1935.9,1941.8,4436,1.0
2022-03-04 04:00:00,1941.7,1943.8,1940.3,1942.0,4404,1.0
2022-03-04 05:00:00,1942.0,1943.0,1940.5,1941.7,1740,1.0
2022-03-04 06:00:00,1941.8,1942.8,1937.1,1938.0,2654,1.0
2022-03-04 07:00:00,1938.0,1940.3,1936.4,1938.4,3077,1.0
2022-03-04 08:00:00,1938.3,1941.7,1937.7,1938.7,3447,1.0
2022-03-04 09:00:00,1938.7,1943.0,1936.5,1941.5,7110,1.0
2022-03-04 10:00:00,1941.5,1949.1,1941.0,1948.6,7973,1.0
2022-03-04 11:00:00,1948.6,1951.0,1945.3,1950.1,6976,1.0
2022-03-04 12:00:00,1950.0,1952.2,1947.2,1949.4,6792,1.0
2022-03-04 13:00:00,1949.3,1952.9,1946.5,1948.3,7485,1.0
2022-03-04 14:00:00,1948.4,1951.1,1942.2,1949.5,21249,1.0
2022-03-04 15:00:00,1949.4,1962.6,1948.1,1955.0,25870,1.0
2022-03-04 16:00:00,1955.1,1962.2,1945.5,1961.0,24002,0.0
2022-03-04 17:00:00,1961.1,1969.0,1959.7,1965.8,18721,1.0
2022-03-04 18:00:00,1965.9,1968.6,1963.3,1965.2,11745,1.0
2022-03-04 19:00:00,1965.2,1969.7,1963.8,1968.6,12517,1.0
2022-03-04 20:00:00,1968.5,1973.1,1967.8,1970.3,7409,0.0
2022-03-04 21:00:00,1970.3,1973.7,1968.3,1971.0,10288,0.0
2022-03-04 22:00:00,1971.0,1974.9,1969.0,1974.9,3384,0.0
2022-03-07 00:00:00,1978.5,1995.8,1977.0,1992.2,13662,0.0
2022-03-07 01:00:00,1992.6,1994.2,1990.4,1991.9,6392,0.0
2022-03-07 02:00:00,1992.0,2005.2,1991.6,2002.1,17033,1.0
2022-03-07 03:00:00,2002.2,2002.6,1991.4,1991.6,10899,0.0
2022-03-07 04:00:00,1991.7,1995.3,1989.7,1994.9,6999,1.0
2022-03-07 05:00:00,1994.8,1996.3,1992.3,1994.4,3483,1.0
2022-03-07 06:00:00,1994.5,1994.8,1988.8,1989.5,5828,-1.0
2022-03-07 07:00:00,1989.4,1990.9,1982.0,1988.7,9981,-1.0
2022-03-07 08:00:00,1988.6,1998.3,1984.1,1997.9,9919,1.0
2022-03-07 09:00:00,1998.0,2003.7,1994.0,2001.7,12397,1.0
2022-03-07 10:00:00,2001.6,2007.0,1998.7,2003.1,10879,1.0
2022-03-07 11:00:00,2002.9,2007.5,2000.3,2007.0,8673,1.0
2022-03-07 12:00:00,2007.0,2007.0,1990.7,1995.1,13269,1.0
2022-03-07 13:00:00,1994.9,1995.0,1985.4,1987.8,16570,-1.0
2022-03-07 14:00:00,1987.9,1991.7,1964.2,1982.3,38383,-1.0
2022-03-07 15:00:00,1982.2,1989.7,1970.9,1987.8,24145,-1.0
2022-03-07 16:00:00,1987.8,1995.7,1980.9,1984.8,25306,-1.0
2022-03-07 17:00:00,1985.0,1987.4,1978.5,1982.8,11850,-1.0
2022-03-07 18:00:00,1983.0,1989.4,1981.3,1987.5,12062,-1.0
2022-03-07 19:00:00,1987.4,2000.9,1986.9,1996.1,17443,1.0
2022-03-07 20:00:00,1996.2,2001.0,1994.4,1999.7,7432,0.0
2022-03-07 21:00:00,1999.4,2002.6,1995.4,2000.1,6323,0.0
2022-03-07 22:00:00,1999.8,2003.9,1999.1,2001.8,2937,0.0
2022-03-08 00:00:00,2001.0,2003.5,2000.2,2002.8,2343,1.0
2022-03-08 01:00:00,2003.0,2004.7,1995.0,1996.4,4443,-1.0
2022-03-08 02:00:00,1996.4,1996.9,1985.8,1990.0,8618,-1.0
2022-03-08 03:00:00,1990.2,1995.0,1989.7,1994.2,4070,-1.0
2022-03-08 04:00:00,1994.1,1995.2,1989.4,1990.8,2449,-1.0
2022-03-08 05:00:00,1990.9,1996.5,1990.4,1996.1,1998,-1.0
2022-03-08 06:00:00,1996.1,2000.3,1994.4,1999.7,4450,0.0
2022-03-08 07:00:00,1999.8,2026.8,1998.8,2022.8,14815,0.0
2022-03-08 08:00:00,2023.1,2027.8,2019.1,2023.0,13575,0.0
2022-03-08 09:00:00,2022.9,2027.0,2005.6,2015.1,17658,-1.0
2022-03-08 10:00:00,2015.2,2018.3,2012.2,2013.2,8523,-1.0
2022-03-08 11:00:00,2012.9,2015.1,2008.5,2011.4,7589,-1.0
2022-03-08 12:00:00,2011.3,2016.9,2009.9,2015.2,7701,-1.0
2022-03-08 13:00:00,2015.1,2021.7,2012.0,2013.6,12009,-1.0
2022-03-08 14:00:00,2013.7,2026.8,2009.6,2021.4,28483,0.0
2022-03-08 15:00:00,2021.3,2047.8,2019.7,2046.5,39425,0.0
2022-03-08 16:00:00,2046.6,2078.8,2046.3,2054.5,60667,1.0
2022-03-08 17:00:00,2054.7,2077.6,2051.2,2076.7,27407,0.0
2022-03-08 18:00:00,2076.8,2077.2,2027.1,2035.6,50264,0.0
2022-03-08 19:00:00,2035.9,2060.0,2028.1,2050.9,27141,1.0
2022-03-08 20:00:00,2050.9,2054.4,2035.0,2046.2,10851,0.0
2022-03-08 21:00:00,2046.1,2060.0,2039.1,2057.9,8598,0.0
2022-03-08 22:00:00,2058.0,2061.4,2056.2,2058.3,2927,0.0
2022-03-09 00:00:00,2060.2,2060.2,2050.2,2051.5,3401,-1.0
2022-03-09 01:00:00,2051.5,2054.2,2043.0,2046.4,4051,-1.0
2022-03-09 02:00:00,2046.6,2053.7,2044.0,2050.3,7164,-1.0
2022-03-09 03:00:00,2050.4,2065.0,2048.6,2062.0,8378,1.0
2022-03-09 04:00:00,2061.8,2067.2,2059.7,2066.4,5460,1.0
2022-03-09 05:00:00,2066.3,2068.5,2060.8,2061.2,3890,1.0
2022-03-09 06:00:00,2061.3,2066.6,2054.8,2058.3,5796,0.0
2022-03-09 07:00:00,2058.3,2063.1,2057.6,2059.4,5026,1.0
2022-03-09 08:00:00,2059.6,2060.4,2047.0,2054.1,10380,-1.0
2022-03-09 09:00:00,2054.4,2057.8,2050.2,2050.4,8562,-1.0
2022-03-09 10:00:00,2050.5,2050.6,2021.7,2024.6,21039,0.0
2022-03-09 11:00:00,2024.6,2025.2,2010.5,2020.8,18146,-1.0
