,Datetime,Open,High,Low,Close,Volume,Signal
0,2021-12-08 14:00:00,1784.4,1786.5,1782.1,1784.0,4515.0,0
1,2021-12-08 14:30:00,1784.1,1784.2,1780.8,1782.8,4232.0,0
2,2021-12-08 15:00:00,1782.7,1783.9,1780.1,1782.0,6638.0,1
3,2021-12-08 15:30:00,1782.0,1785.6,1781.2,1782.6,6081.0,0
4,2021-12-08 16:00:00,1782.5,1783.3,1780.6,1783.0,3846.0,-1
5,2021-12-08 16:30:00,1783.0,1783.8,1781.5,1783.2,3636.0,1
6,2021-12-08 17:00:00,1783.4,1783.4,1782.0,1783.0,1912.0,-1
7,2021-12-08 17:30:00,1783.1,1785.1,1782.8,1784.1,2207.0,1
8,2021-12-08 18:00:00,1784.1,1785.7,1783.6,1785.0,1744.0,1
9,2021-12-08 18:30:00,1785.0,1786.2,1784.2,1785.7,2975.0,0
10,2021-12-08 19:00:00,1785.6,1786.3,1784.6,1785.3,1371.0,1
11,2021-12-08 19:30:00,1785.3,1786.7,1785.1,1786.6,1084.0,1
12,2021-12-08 20:00:00,1786.4,1787.3,1785.6,1786.4,1268.0,-1
13,2021-12-08 20:30:00,1786.6,1787.8,1786.5,1787.8,819.0,-1
14,2021-12-08 21:00:00,1787.8,1787.8,1786.4,1786.7,1165.0,-1
15,2021-12-08 21:30:00,1786.6,1786.8,1783.6,1783.8,1508.0,-1
16,2021-12-09 00:00:00,1785.1,1785.7,1784.1,1784.3,1035.0,0
17,2021-12-09 00:30:00,1784.5,1786.3,1783.6,1785.3,1431.0,-1
18,2021-12-09 01:00:00,1785.2,1785.9,1784.9,1785.4,505.0,1
19,2021-12-09 01:30:00,1785.4,1785.4,1783.1,1784.2,1432.0,-1
20,2021-12-09 02:00:00,1784.3,1785.2,1784.1,1785.0,922.0,1
21,2021-12-09 02:30:00,1784.9,1785.0,1783.9,1784.0,1055.0,1
22,2021-12-09 03:00:00,1784.0,1784.5,1782.5,1783.8,1686.0,-1
23,2021-12-09 03:30:00,1783.6,1784.0,1783.2,1783.2,928.0,1
24,2021-12-09 04:00:00,1783.2,1784.9,1783.1,1784.9,822.0,1
25,2021-12-09 04:30:00,1784.8,1786.7,1784.8,1786.2,1229.0,1
26,2021-12-09 05:00:00,1786.2,1786.8,1786.0,1786.7,505.0,-1
27,2021-12-09 05:30:00,1786.7,1787.8,1786.1,1787.1,1360.0,1
28,2021-12-09 06:00:00,1787.0,1788.1,1786.5,1786.6,1081.0,-1
29,2021-12-09 06:30:00,1786.5,1787.2,1785.9,1787.2,615.0,1
30,2021-12-09 07:00:00,1787.3,1787.5,1784.6,1784.6,1175.0,1
31,2021-12-09 07:30:00,1784.7,1787.8,1783.9,1787.3,1999.0,1
32,2021-12-09 08:00:00,1787.3,1787.5,1785.9,1786.9,984.0,-1
33,2021-12-09 08:30:00,1786.8,1788.4,1785.7,1785.9,2117.0,0
34,2021-12-09 09:00:00,1786.0,1786.6,1783.1,1784.9,2489.0,1
35,2021-12-09 09:30:00,1785.0,1786.3,1782.9,1783.7,2397.0,1
36,2021-12-09 10:00:00,1783.8,1784.4,1782.3,1783.3,1474.0,-1
37,2021-12-09 10:30:00,1783.2,1783.8,1781.6,1782.6,1641.0,0
38,2021-12-09 11:00:00,1782.7,1784.7,1782.1,1783.5,1350.0,-1
39,2021-12-09 11:30:00,1783.5,1784.6,1782.8,1783.2,1087.0,1
40,2021-12-09 12:00:00,1783.2,1783.8,1779.7,1780.9,2928.0,0
41,2021-12-09 12:30:00,1780.9,1780.9,1775.4,1776.0,5446.0,-1
42,2021-12-09 13:00:00,1776.0,1778.7,1775.2,1776.7,3263.0,-1
43,2021-12-09 13:30:00,1776.7,1779.5,1774.0,1777.7,9408.0,1
44,2021-12-09 14:00:00,1777.5,1778.8,1774.2,1778.3,6050.0,0
45,2021-12-09 14:30:00,1778.2,1784.3,1776.0,1783.3,9148.0,1
46,2021-12-09 15:00:00,1783.4,1783.7,1774.4,1777.2,10701.0,-1
